Accelerometer sample rate = 119.00 Hz
Gyroscope sample rate = 119.00 Hz

aX:-0.972,aY:-0.014,aZ:-0.259,gX:-1.770,gY:1.404,gZ:0.549
aX:-0.968,aY:-0.013,aZ:-0.256,gX:-2.258,gY:0.916,gZ:0.549
aX:-0.969,aY:-0.011,aZ:-0.257,gX:-2.258,gY:0.671,gZ:0.610
aX:-0.972,aY:-0.009,aZ:-0.256,gX:-2.197,gY:0.793,gZ:0.427
aX:-0.965,aY:-0.005,aZ:-0.256,gX:-2.441,gY:0.916,gZ:0.366
aX:-0.968,aY:-0.005,aZ:-0.255,gX:-1.404,gY:0.916,gZ:0.671
aX:-0.974,aY:-0.006,aZ:-0.258,gX:-1.099,gY:0.916,gZ:0.977
aX:-0.974,aY:-0.006,aZ:-0.257,gX:-0.793,gY:0.916,gZ:1.343
aX:-0.976,aY:-0.002,aZ:-0.252,gX:-0.610,gY:1.221,gZ:1.465
aX:-0.969,aY:0.001,aZ:-0.257,gX:-0.488,gY:1.465,gZ:1.465
aX:-0.970,aY:-0.001,aZ:-0.260,gX:-0.366,gY:1.343,gZ:1.221
aX:-0.978,aY:-0.010,aZ:-0.262,gX:0.244,gY:1.282,gZ:0.977
aX:-0.981,aY:-0.013,aZ:-0.259,gX:0.732,gY:1.587,gZ:0.549
aX:-0.983,aY:-0.015,aZ:-0.255,gX:0.183,gY:1.892,gZ:0.305
aX:-0.979,aY:-0.015,aZ:-0.249,gX:0.000,gY:2.319,gZ:0.305
aX:-0.975,aY:-0.011,aZ:-0.250,gX:-0.671,gY:2.014,gZ:0.305
aX:-0.970,aY:-0.010,aZ:-0.252,gX:-1.343,gY:2.258,gZ:0.183
aX:-0.967,aY:-0.004,aZ:-0.249,gX:-1.038,gY:2.380,gZ:0.183
aX:-0.967,aY:-0.006,aZ:-0.250,gX:-1.221,gY:2.197,gZ:0.000
aX:-0.972,aY:-0.012,aZ:-0.248,gX:-1.526,gY:1.709,gZ:-0.061
aX:-0.975,aY:-0.013,aZ:-0.247,gX:-1.343,gY:1.709,gZ:-0.122
aX:-0.977,aY:-0.010,aZ:-0.248,gX:-1.648,gY:1.587,gZ:-0.305
aX:-0.974,aY:-0.008,aZ:-0.252,gX:-2.258,gY:1.160,gZ:-0.366
aX:-0.970,aY:-0.008,aZ:-0.249,gX:-1.526,gY:1.343,gZ:-0.183
aX:-0.974,aY:-0.008,aZ:-0.246,gX:-1.892,gY:1.038,gZ:-0.183
aX:-0.977,aY:-0.009,aZ:-0.246,gX:-2.319,gY:1.160,gZ:-0.183
aX:-0.970,aY:-0.009,aZ:-0.248,gX:-1.587,gY:1.892,gZ:-0.061
aX:-0.964,aY:-0.011,aZ:-0.247,gX:-2.014,gY:1.892,gZ:0.061
aX:-0.969,aY:-0.011,aZ:-0.245,gX:-2.502,gY:1.526,gZ:0.061
aX:-0.979,aY:-0.012,aZ:-0.248,gX:-2.014,gY:0.977,gZ:0.305
aX:-0.982,aY:-0.008,aZ:-0.250,gX:-2.502,gY:0.610,gZ:0.549
aX:-0.978,aY:-0.007,aZ:-0.254,gX:-2.930,gY:0.244,gZ:0.488
aX:-0.975,aY:-0.009,aZ:-0.254,gX:-2.563,gY:1.038,gZ:0.610
aX:-0.973,aY:-0.009,aZ:-0.249,gX:-1.892,gY:1.221,gZ:0.366
aX:-0.971,aY:-0.007,aZ:-0.247,gX:-2.075,gY:1.343,gZ:0.000
aX:-0.970,aY:-0.004,aZ:-0.243,gX:-1.587,gY:1.770,gZ:0.000
aX:-0.970,aY:-0.001,aZ:-0.241,gX:-1.038,gY:1.648,gZ:0.244
aX:-0.971,aY:-0.000,aZ:-0.246,gX:-1.770,gY:1.282,gZ:0.488
aX:-0.979,aY:-0.003,aZ:-0.245,gX:-1.160,gY:1.221,gZ:0.610
aX:-0.979,aY:-0.008,aZ:-0.244,gX:-0.793,gY:1.465,gZ:0.366
aX:-0.972,aY:-0.011,aZ:-0.244,gX:-1.404,gY:1.221,gZ:0.244
aX:-0.969,aY:-0.009,aZ:-0.246,gX:-0.977,gY:1.343,gZ:0.122
aX:-0.972,aY:-0.010,aZ:-0.243,gX:-0.916,gY:1.526,gZ:0.488
aX:-0.976,aY:-0.010,aZ:-0.245,gX:-1.587,gY:0.977,gZ:0.793
aX:-0.978,aY:-0.011,aZ:-0.245,gX:-1.709,gY:1.099,gZ:0.732
aX:-0.976,aY:-0.008,aZ:-0.242,gX:-1.465,gY:1.160,gZ:0.671
aX:-0.972,aY:-0.004,aZ:-0.241,gX:-1.465,gY:1.099,gZ:0.244
aX:-0.972,aY:-0.002,aZ:-0.241,gX:-1.526,gY:1.221,gZ:0.244
aX:-0.970,aY:-0.002,aZ:-0.239,gX:-1.099,gY:1.282,gZ:0.183
aX:-0.971,aY:-0.002,aZ:-0.238,gX:-1.587,gY:0.916,gZ:0.366
aX:-0.976,aY:-0.004,aZ:-0.241,gX:-1.404,gY:0.305,gZ:0.671
aX:-0.980,aY:-0.006,aZ:-0.243,gX:-1.221,gY:0.122,gZ:0.793
aX:-0.980,aY:-0.003,aZ:-0.240,gX:-1.282,gY:0.366,gZ:0.549
aX:-0.975,aY:-0.003,aZ:-0.239,gX:-0.732,gY:0.427,gZ:0.305
aX:-0.971,aY:-0.002,aZ:-0.246,gX:-0.671,gY:-0.061,gZ:0.000
aX:-0.972,aY:-0.005,aZ:-0.244,gX:-0.488,gY:0.122,gZ:0.244
aX:-0.974,aY:-0.009,aZ:-0.238,gX:-0.305,gY:0.061,gZ:0.549
aX:-0.974,aY:-0.010,aZ:-0.236,gX:-0.549,gY:-0.122,gZ:0.610
aX:-0.974,aY:-0.008,aZ:-0.238,gX:-1.343,gY:-0.427,gZ:0.549
aX:-0.976,aY:-0.007,aZ:-0.240,gX:-1.160,gY:-0.244,gZ:0.610
aX:-0.977,aY:-0.005,aZ:-0.237,gX:-0.671,gY:0.122,gZ:0.366
aX:-0.975,aY:-0.003,aZ:-0.235,gX:-0.610,gY:0.305,gZ:0.061
aX:-0.975,aY:-0.001,aZ:-0.235,gX:-0.671,gY:0.610,gZ:0.122
aX:-0.977,aY:-0.001,aZ:-0.235,gX:-0.488,gY:0.610,gZ:0.305
aX:-0.977,aY:-0.001,aZ:-0.237,gX:-0.610,gY:0.244,gZ:0.610
aX:-0.976,aY:-0.002,aZ:-0.238,gX:-0.183,gY:0.427,gZ:1.038
aX:-0.975,aY:-0.006,aZ:-0.238,gX:-0.122,gY:0.305,gZ:1.038
aX:-0.973,aY:-0.010,aZ:-0.234,gX:-0.305,gY:0.427,gZ:0.916
aX:-0.972,aY:-0.009,aZ:-0.240,gX:-0.427,gY:0.732,gZ:0.793
aX:-0.973,aY:-0.007,aZ:-0.242,gX:-0.488,gY:0.671,gZ:0.488
aX:-0.977,aY:-0.008,aZ:-0.241,gX:-0.732,gY:0.366,gZ:0.427
aX:-0.983,aY:-0.009,aZ:-0.239,gX:-0.854,gY:0.366,gZ:0.427
aX:-0.981,aY:-0.010,aZ:-0.236,gX:-0.671,gY:0.488,gZ:0.427
aX:-0.971,aY:-0.008,aZ:-0.230,gX:-0.732,gY:1.160,gZ:0.305
aX:-0.970,aY:-0.005,aZ:-0.230,gX:-1.160,gY:0.854,gZ:0.000
aX:-0.973,aY:-0.001,aZ:-0.234,gX:-1.343,gY:0.183,gZ:0.122
aX:-0.977,aY:-0.000,aZ:-0.241,gX:-1.221,gY:0.061,gZ:0.305
aX:-0.980,aY:-0.003,aZ:-0.245,gX:-0.793,gY:0.061,gZ:0.732
aX:-0.979,aY:-0.004,aZ:-0.247,gX:-0.549,gY:0.244,gZ:1.038
aX:-0.974,aY:-0.004,aZ:-0.241,gX:-0.488,gY:0.793,gZ:1.099
aX:-0.973,aY:-0.009,aZ:-0.240,gX:-0.183,gY:0.671,gZ:1.099
aX:-0.972,aY:-0.011,aZ:-0.240,gX:-0.305,gY:0.427,gZ:0.610
aX:-0.977,aY:-0.010,aZ:-0.244,gX:-0.244,gY:-0.366,gZ:0.488
aX:-0.978,aY:-0.008,aZ:-0.246,gX:-0.488,gY:-0.244,gZ:0.610
aX:-0.977,aY:-0.008,aZ:-0.244,gX:-0.427,gY:0.244,gZ:0.854
aX:-0.973,aY:-0.009,aZ:-0.240,gX:-0.671,gY:0.244,gZ:0.916
aX:-0.970,aY:-0.009,aZ:-0.240,gX:-0.977,gY:0.000,gZ:0.977
aX:-0.973,aY:-0.009,aZ:-0.243,gX:-0.854,gY:0.000,gZ:0.854
aX:-0.976,aY:-0.006,aZ:-0.238,gX:-0.671,gY:-0.061,gZ:0.793
aX:-0.974,aY:-0.002,aZ:-0.233,gX:-0.488,gY:-0.549,gZ:0.549
aX:-0.971,aY:0.001,aZ:-0.234,gX:-0.244,gY:-0.854,gZ:0.549
aX:-0.975,aY:0.005,aZ:-0.239,gX:-0.244,gY:-1.221,gZ:0.610
aX:-0.977,aY:0.001,aZ:-0.240,gX:-0.488,gY:-1.587,gZ:0.977
aX:-0.978,aY:-0.002,aZ:-0.236,gX:0.000,gY:-1.648,gZ:0.854
aX:-0.976,aY:-0.006,aZ:-0.233,gX:-0.366,gY:-1.404,gZ:1.038
aX:-0.975,aY:-0.007,aZ:-0.234,gX:-0.854,gY:-1.221,gZ:0.916
aX:-0.971,aY:-0.008,aZ:-0.237,gX:-0.793,gY:-1.099,gZ:0.977
aX:-0.973,aY:-0.010,aZ:-0.239,gX:-1.221,gY:-1.526,gZ:1.099
aX:-0.976,aY:-0.011,aZ:-0.243,gX:-1.648,gY:-1.648,gZ:1.160
aX:-0.976,aY:-0.010,aZ:-0.246,gX:-1.709,gY:-2.014,gZ:1.038
aX:-0.979,aY:-0.009,aZ:-0.252,gX:-1.465,gY:-2.319,gZ:0.854
aX:-0.977,aY:-0.009,aZ:-0.251,gX:-1.770,gY:-1.770,gZ:0.732
aX:-0.975,aY:-0.011,aZ:-0.249,gX:-1.282,gY:-1.648,gZ:0.916
aX:-0.974,aY:-0.010,aZ:-0.247,gX:-1.526,gY:-1.770,gZ:0.793
aX:-0.972,aY:-0.007,aZ:-0.249,gX:-1.648,gY:-1.892,gZ:0.549
aX:-0.969,aY:-0.005,aZ:-0.252,gX:-1.465,gY:-1.892,gZ:0.671
aX:-0.969,aY:-0.008,aZ:-0.247,gX:-1.709,gY:-1.892,gZ:0.671
aX:-0.972,aY:-0.012,aZ:-0.248,gX:-2.197,gY:-1.953,gZ:0.610
